,Наименование полигона,Краткое наименование,Полигон,Номерной знак ТС,Наименование структурного подразделения,Тип закрепления,дата путевого листа,"Данные путевых листов, пробег",Дата сигнала телематики,"Данные телематики, пробег",Штрафы,манера вождения
13,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0600РХ70,ГТС Выборг,В целевой структуре парка,2024-04-04,0.0,2024-04-04,9.08,,2.6
14,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0600РХ70,ГТС Выборг,В целевой структуре парка,2024-04-10,50.2,2024-04-10,43.2,2.0,2.6
15,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0600РХ70,ГТС Выборг,В целевой структуре парка,2024-04-11,50.2,2024-04-11,48.2,4.0,2.6
16,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0600РХ70,ГТС Выборг,В целевой структуре парка,2024-04-18,2.2,2024-04-18,2.2,,2.6
17,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0600РХ70,ГТС Выборг,В целевой структуре парка,2024-04-25,1.0,2024-04-25,1.0,,2.6
18,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0600РХ70,ГТС Выборг,В целевой структуре парка,2024-04-28,12.4,2024-04-28,12.4,1.0,2.6
19,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0010ТМ69,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,2024-04-01,0.0,2024-04-01,0.0,0.0,0.0
21,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0003ТВ69,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,2024-04-03,2.0,2024-04-03,2.0,,5.7
22,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0003ТВ69,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,2024-04-09,30.2,2024-04-09,30.2,2.0,5.7
23,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0003ТВ69,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,2024-04-13,40.2,2024-04-10,10.12,1.0,5.7
24,ОКТЯБРЬСКАЯ ЖД,ЦМ,Окт ДМ,0003ТВ69,Московская механизированная дистанция ОКТ ДМ (МЧ-1),В целевой структуре парка,2024-04-21,3.2,2024-04-13,40.2,4.0,5.7
